"year","name","n"
2020-02-16,"MS",0
2020-02-17,"MS",0
2020-02-18,"MS",0
2020-02-19,"MS",0
2020-02-20,"MS",0
2020-02-21,"MS",0
2020-02-22,"MS",0
2020-02-23,"MS",0
2020-02-24,"MS",0
2020-02-25,"MS",0
2020-02-26,"MS",0
2020-02-27,"MS",0
2020-02-28,"MS",0
2020-02-29,"MS",0
2020-03-01,"MS",0
2020-03-02,"MS",0
2020-03-03,"MS",0
2020-03-04,"MS",0
2020-03-05,"MS",0
2020-03-06,"MS",0
2020-03-07,"MS",0
2020-03-08,"MS",0
2020-03-09,"MS",0
2020-03-10,"MS",0
2020-03-11,"MS",0
2020-03-12,"MS",1
2020-03-13,"MS",5
2020-03-14,"MS",4
2020-03-15,"MS",0
2020-03-16,"MS",2
2020-03-17,"MS",9
2020-03-18,"MS",13
